arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,arch1,PS,runtime
ARM_AppleA8X_APL1012_LPDDR31600_4GB,1.5,ARM,8,64,1,64,8,64,1,1024,16,64,3,4,4,LPDDR3,1600,3,ARM_AppleA8X_APL1012_LPDDR31600_4GB_montecarlocalcpi500000,500000,49218
ARM_AppleA8X_APL1012_LPDDR31600_6GB,1.5,ARM,8,64,1,64,8,64,1,1024,16,64,3,4,6,LPDDR3,1600,3,ARM_AppleA8X_APL1012_LPDDR31600_6GB_montecarlocalcpi500000,500000,49218
ARM_AppleA8X_APL1012_LPDDR31600_7GB,1.5,ARM,8,64,1,64,8,64,1,1024,16,64,3,4,7,LPDDR3,1600,3,ARM_AppleA8X_APL1012_LPDDR31600_7GB_montecarlocalcpi500000,500000,49218
ARM_AppleA8_APL1011_LPDDR31600_2GB,1.1,ARM,8,64,1,64,8,64,1,1024,16,64,2,4,2,LPDDR3,1600,2,ARM_AppleA8_APL1011_LPDDR31600_2GB_montecarlocalcpi500000,500000,67074
ARM_AppleA8_APL1011_LPDDR31600_3GB,1.1,ARM,8,64,1,64,8,64,1,1024,16,64,2,4,3,LPDDR3,1600,2,ARM_AppleA8_APL1011_LPDDR31600_3GB_montecarlocalcpi500000,500000,67074
ARM_AppleA8_APL1011_LPDDR31600_4GB,1.1,ARM,8,64,1,64,8,64,1,1024,16,64,2,4,4,LPDDR3,1600,2,ARM_AppleA8_APL1011_LPDDR31600_4GB_montecarlocalcpi500000,500000,67074
ARM_AppleA8_APL1011_LPDDR31600_6GB,1.1,ARM,8,64,1,64,8,64,1,1024,16,64,2,4,6,LPDDR3,1600,2,ARM_AppleA8_APL1011_LPDDR31600_6GB_montecarlocalcpi500000,500000,67074
ARM_AppleA8_APL1011_LPDDR31600_7GB,1.1,ARM,8,64,1,64,8,64,1,1024,16,64,2,4,7,LPDDR3,1600,2,ARM_AppleA8_APL1011_LPDDR31600_7GB_montecarlocalcpi500000,500000,67074
ARM_AppleA7_APL0698_LPDDR31600_2GB,1.3,ARM,8,64,1,64,8,64,1,512,16,64,2,4,2,LPDDR3,1600,2,ARM_AppleA7_APL0698_LPDDR31600_2GB_montecarlocalcpi500000,500000,56745
ARM_AppleA7_APL0698_LPDDR31600_3GB,1.3,ARM,8,64,1,64,8,64,1,512,16,64,2,4,3,LPDDR3,1600,2,ARM_AppleA7_APL0698_LPDDR31600_3GB_montecarlocalcpi500000,500000,56745
ARM_AppleA7_APL0698_LPDDR31600_4GB,1.3,ARM,8,64,1,64,8,64,1,512,16,64,2,4,4,LPDDR3,1600,2,ARM_AppleA7_APL0698_LPDDR31600_4GB_montecarlocalcpi500000,500000,56745
ARM_AppleA7_APL0698_LPDDR31600_6GB,1.3,ARM,8,64,1,64,8,64,1,512,16,64,2,4,6,LPDDR3,1600,2,ARM_AppleA7_APL0698_LPDDR31600_6GB_montecarlocalcpi500000,500000,56745
ARM_AppleA7_APL0698_LPDDR31600_7GB,1.3,ARM,8,64,1,64,8,64,1,512,16,64,2,4,7,LPDDR3,1600,2,ARM_AppleA7_APL0698_LPDDR31600_7GB_montecarlocalcpi500000,500000,56745
ARM_AppleA6_APL0598_LPDDR21066_2GB,1.3,ARM,8,64,1,32,8,64,1,512,16,64,2,1,2,LPDDR2,1066,2,ARM_AppleA6_APL0598_LPDDR21066_2GB_montecarlocalcpi500000,500000,56745
ARM_AppleA6_APL0598_LPDDR21066_3GB,1.3,ARM,8,64,1,32,8,64,1,512,16,64,2,1,3,LPDDR2,1066,2,ARM_AppleA6_APL0598_LPDDR21066_3GB_montecarlocalcpi500000,500000,56745
ARM_AppleA6_APL0598_LPDDR21066_4GB,1.3,ARM,8,64,1,32,8,64,1,512,16,64,2,1,4,LPDDR2,1066,2,ARM_AppleA6_APL0598_LPDDR21066_4GB_montecarlocalcpi500000,500000,56745
ARM_AppleA6_APL0598_LPDDR21066_6GB,1.3,ARM,8,64,1,32,8,64,1,512,16,64,2,1,6,LPDDR2,1066,2,ARM_AppleA6_APL0598_LPDDR21066_6GB_montecarlocalcpi500000,500000,56745
ARM_AppleA6_APL0598_LPDDR21066_7GB,1.3,ARM,8,64,1,32,8,64,1,512,16,64,2,1,7,LPDDR2,1066,2,ARM_AppleA6_APL0598_LPDDR21066_7GB_montecarlocalcpi500000,500000,56745
ARM_AppleA5_APL7498_LPDDR2800_2GB,1,ARM,8,64,1,32,8,64,1,1024,16,64,1,1,2,LPDDR2,800,1,ARM_AppleA5_APL7498_LPDDR2800_2GB_montecarlocalcpi500000,500000,73790
ARM_AppleA5_APL7498_LPDDR2800_3GB,1,ARM,8,64,1,32,8,64,1,1024,16,64,1,1,3,LPDDR2,800,1,ARM_AppleA5_APL7498_LPDDR2800_3GB_montecarlocalcpi500000,500000,73790
ARM_AppleA5_APL7498_LPDDR2800_4GB,1,ARM,8,64,1,32,8,64,1,1024,16,64,1,1,4,LPDDR2,800,1,ARM_AppleA5_APL7498_LPDDR2800_4GB_montecarlocalcpi500000,500000,73790
ARM_AppleA5_APL7498_LPDDR2800_6GB,1,ARM,8,64,1,32,8,64,1,1024,16,64,1,1,6,LPDDR2,800,1,ARM_AppleA5_APL7498_LPDDR2800_6GB_montecarlocalcpi500000,500000,73790
ARM_AppleA5_APL7498_LPDDR2800_7GB,1,ARM,8,64,1,32,8,64,1,1024,16,64,1,1,7,LPDDR2,800,1,ARM_AppleA5_APL7498_LPDDR2800_7GB_montecarlocalcpi500000,500000,73790
ARM_AppleA4_APL0398_LPDDR2400_2GB,1,ARM,8,64,1,32,8,64,1,512,16,64,1,1,2,LPDDR2,400,1,ARM_AppleA4_APL0398_LPDDR2400_2GB_montecarlocalcpi500000,500000,73790
ARM_AppleA4_APL0398_LPDDR2400_3GB,1,ARM,8,64,1,32,8,64,1,512,16,64,1,1,3,LPDDR2,400,1,ARM_AppleA4_APL0398_LPDDR2400_3GB_montecarlocalcpi500000,500000,73790
ARM_AppleA4_APL0398_LPDDR2400_4GB,1,ARM,8,64,1,32,8,64,1,512,16,64,1,1,4,LPDDR2,400,1,ARM_AppleA4_APL0398_LPDDR2400_4GB_montecarlocalcpi500000,500000,73790
ARM_AppleA4_APL0398_LPDDR2400_6GB,1,ARM,8,64,1,32,8,64,1,512,16,64,1,1,6,LPDDR2,400,1,ARM_AppleA4_APL0398_LPDDR2400_6GB_montecarlocalcpi500000,500000,73790
ARM_AppleA4_APL0398_LPDDR2400_7GB,1,ARM,8,64,1,32,8,64,1,512,16,64,1,1,7,LPDDR2,400,1,ARM_AppleA4_APL0398_LPDDR2400_7GB_montecarlocalcpi500000,500000,73790
ARM_AMDOpteronA57_A1120_DDR41866_2GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,4,8,2,DDR4,1866,4,ARM_AMDOpteronA57_A1120_DDR41866_2GB_montecarlocalcpi500000,500000,43388
ARM_AMDOpteronA57_A1120_DDR41866_3GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,4,8,3,DDR4,1866,4,ARM_AMDOpteronA57_A1120_DDR41866_3GB_montecarlocalcpi500000,500000,43388
ARM_AMDOpteronA57_A1120_DDR41866_4GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,4,8,4,DDR4,1866,4,ARM_AMDOpteronA57_A1120_DDR41866_4GB_montecarlocalcpi500000,500000,43388
ARM_AMDOpteronA57_A1120_DDR41866_6GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,4,8,6,DDR4,1866,4,ARM_AMDOpteronA57_A1120_DDR41866_6GB_montecarlocalcpi500000,500000,43388
ARM_AMDOpteronA57_A1120_DDR41866_7GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,4,8,7,DDR4,1866,4,ARM_AMDOpteronA57_A1120_DDR41866_7GB_montecarlocalcpi500000,500000,43388
ARM_AMDOpteronA57_A1150_DDR41866_2GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,2,DDR4,1866,8,ARM_AMDOpteronA57_A1150_DDR41866_2GB_montecarlocalcpi500000,500000,43388
ARM_AMDOpteronA57_A1150_DDR41866_3GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,3,DDR4,1866,8,ARM_AMDOpteronA57_A1150_DDR41866_3GB_montecarlocalcpi500000,500000,43388
ARM_AMDOpteronA57_A1150_DDR41866_4GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,4,DDR4,1866,8,ARM_AMDOpteronA57_A1150_DDR41866_4GB_montecarlocalcpi500000,500000,43388
ARM_AMDOpteronA57_A1150_DDR41866_6GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,6,DDR4,1866,8,ARM_AMDOpteronA57_A1150_DDR41866_6GB_montecarlocalcpi500000,500000,43388
ARM_AMDOpteronA57_A1150_DDR41866_7GB,1.7,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,7,DDR4,1866,8,ARM_AMDOpteronA57_A1150_DDR41866_7GB_montecarlocalcpi500000,500000,43388
ARM_AMDOpteronA57_A1170_DDR41866_2GB,2,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,2,DDR4,1866,8,ARM_AMDOpteronA57_A1170_DDR41866_2GB_montecarlocalcpi500000,500000,36895
ARM_AMDOpteronA57_A1170_DDR41866_3GB,2,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,3,DDR4,1866,8,ARM_AMDOpteronA57_A1170_DDR41866_3GB_montecarlocalcpi500000,500000,36895
ARM_AMDOpteronA57_A1170_DDR41866_4GB,2,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,4,DDR4,1866,8,ARM_AMDOpteronA57_A1170_DDR41866_4GB_montecarlocalcpi500000,500000,36895
ARM_AMDOpteronA57_A1170_DDR41866_6GB,2,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,6,DDR4,1866,8,ARM_AMDOpteronA57_A1170_DDR41866_6GB_montecarlocalcpi500000,500000,36895
ARM_AMDOpteronA57_A1170_DDR41866_7GB,2,ARM,8,64,1,32,8,64,1,1024,16,64,8,8,7,DDR4,1866,8,ARM_AMDOpteronA57_A1170_DDR41866_7GB_montecarlocalcpi500000,500000,36895
IntelCorei97900X_DDR42666_2GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,2,DDR4,2666,10,IntelCorei97900X_DDR42666_2GB_montecarlocalcpi1000000,1000000,16698
IntelCorei97900X_DDR42666_3GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,3,DDR4,2666,10,IntelCorei97900X_DDR42666_3GB_montecarlocalcpi1000000,1000000,16698
IntelCorei97900X_DDR42666_4GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,4,DDR4,2666,10,IntelCorei97900X_DDR42666_4GB_montecarlocalcpi1000000,1000000,16698
IntelCorei97900X_DDR42666_6GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,6,DDR4,2666,10,IntelCorei97900X_DDR42666_6GB_montecarlocalcpi1000000,1000000,16698
IntelCorei97900X_DDR42666_7GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,7,DDR4,2666,10,IntelCorei97900X_DDR42666_7GB_montecarlocalcpi1000000,1000000,16698
IntelCorei97980X_DDR42666_2GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,2,DDR4,2666,18,IntelCorei97980X_DDR42666_2GB_montecarlocalcpi1000000,1000000,21218
IntelCorei97980X_DDR42666_3GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,3,DDR4,2666,18,IntelCorei97980X_DDR42666_3GB_montecarlocalcpi1000000,1000000,21218
IntelCorei97980X_DDR42666_4GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,4,DDR4,2666,18,IntelCorei97980X_DDR42666_4GB_montecarlocalcpi1000000,1000000,21218
IntelCorei97980X_DDR42666_6GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,6,DDR4,2666,18,IntelCorei97980X_DDR42666_6GB_montecarlocalcpi1000000,1000000,21218
IntelCorei97980X_DDR42666_7GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,7,DDR4,2666,18,IntelCorei97980X_DDR42666_7GB_montecarlocalcpi1000000,1000000,21218
IntelCorei78650U_DDR42400_2GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,2,DDR4,2400,4,IntelCorei78650U_DDR42400_2GB_montecarlocalcpi1000000,1000000,28999
IntelCorei78650U_DDR42400_3GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,3,DDR4,2400,4,IntelCorei78650U_DDR42400_3GB_montecarlocalcpi1000000,1000000,28999
IntelCorei78650U_DDR42400_4GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,4,DDR4,2400,4,IntelCorei78650U_DDR42400_4GB_montecarlocalcpi1000000,1000000,28999
IntelCorei78650U_DDR42400_6GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,6,DDR4,2400,4,IntelCorei78650U_DDR42400_6GB_montecarlocalcpi1000000,1000000,28999
IntelCorei78650U_DDR42400_7GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,7,DDR4,2400,4,IntelCorei78650U_DDR42400_7GB_montecarlocalcpi1000000,1000000,28999
IntelCorei78650U_LPDDR32133_2GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,2,LPDDR3,2133,4,IntelCorei78650U_LPDDR32133_2GB_montecarlocalcpi1000000,1000000,28990
IntelCorei78650U_LPDDR32133_3GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,3,LPDDR3,2133,4,IntelCorei78650U_LPDDR32133_3GB_montecarlocalcpi1000000,1000000,28990
IntelCorei78650U_LPDDR32133_4GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,4,LPDDR3,2133,4,IntelCorei78650U_LPDDR32133_4GB_montecarlocalcpi1000000,1000000,28990
IntelCorei78650U_LPDDR32133_6GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,6,LPDDR3,2133,4,IntelCorei78650U_LPDDR32133_6GB_montecarlocalcpi1000000,1000000,28990
IntelCorei78650U_LPDDR32133_7GB,1.9,X86_64,8,64,1,32,4,64,1,256,16,64,4,8,7,LPDDR3,2133,4,IntelCorei78650U_LPDDR32133_7GB_montecarlocalcpi1000000,1000000,28990
IntelCorei77Y75_DDR31600_2GB,1.3,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,2,DDR3,1600,2,IntelCorei77Y75_DDR31600_2GB_montecarlocalcpi1000000,1000000,42388
IntelCorei77Y75_DDR31600_3GB,1.3,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,3,DDR3,1600,2,IntelCorei77Y75_DDR31600_3GB_montecarlocalcpi1000000,1000000,42388
IntelCorei77Y75_DDR31600_4GB,1.3,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,4,DDR3,1600,2,IntelCorei77Y75_DDR31600_4GB_montecarlocalcpi1000000,1000000,42388
IntelCorei77Y75_DDR31600_6GB,1.3,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,6,DDR3,1600,2,IntelCorei77Y75_DDR31600_6GB_montecarlocalcpi1000000,1000000,42388
IntelCorei77Y75_DDR31600_7GB,1.3,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,7,DDR3,1600,2,IntelCorei77Y75_DDR31600_7GB_montecarlocalcpi1000000,1000000,42388
IntelCorei77Y75_LPDDR31866_2GB,1.3,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,2,LPDDR3,1866,2,IntelCorei77Y75_LPDDR31866_2GB_montecarlocalcpi1000000,1000000,42394
IntelCorei77Y75_LPDDR31866_3GB,1.3,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,3,LPDDR3,1866,2,IntelCorei77Y75_LPDDR31866_3GB_montecarlocalcpi1000000,1000000,42394
IntelCorei77Y75_LPDDR31866_4GB,1.3,X86_64,8,64,1,32,4,64,1,256,16,64,2,4,4,LPDDR3,1866,2,IntelCorei77Y75_LPDDR31866_4GB_montecarlocalcpi1000000,1000000,42394
