arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,arch1,PS,runtime
AdvMicDevRyzen31200_DDR42666_4GB,3.1,X86_64,8,64,1,32,8,64,1,512,16,64,4,8,4,DDR4,2666,4,AdvMicDevRyzen31200_DDR42666_4GB_qcif,qcif,31812
AdvMicDevRyzen31200_DDR42666_6GB,3.1,X86_64,8,64,1,32,8,64,1,512,16,64,4,8,6,DDR4,2666,4,AdvMicDevRyzen31200_DDR42666_6GB_qcif,qcif,31812
AdvMicDevRyzen31200_DDR42666_7GB,3.1,X86_64,8,64,1,32,8,64,1,512,16,64,4,8,7,DDR4,2666,4,AdvMicDevRyzen31200_DDR42666_7GB_qcif,qcif,31812
AdvMicDevRyzen51500X_DDR42666_2GB,3.5,X86_64,8,64,1,32,8,64,1,512,16,64,4,16,2,DDR4,2666,4,AdvMicDevRyzen51500X_DDR42666_2GB_qcif,qcif,28172
AdvMicDevRyzen51500X_DDR42666_3GB,3.5,X86_64,8,64,1,32,8,64,1,512,16,64,4,16,3,DDR4,2666,4,AdvMicDevRyzen51500X_DDR42666_3GB_qcif,qcif,28172
AdvMicDevRyzen51500X_DDR42666_4GB,3.5,X86_64,8,64,1,32,8,64,1,512,16,64,4,16,4,DDR4,2666,4,AdvMicDevRyzen51500X_DDR42666_4GB_qcif,qcif,28172
AdvMicDevRyzen51500X_DDR42666_6GB,3.5,X86_64,8,64,1,32,8,64,1,512,16,64,4,16,6,DDR4,2666,4,AdvMicDevRyzen51500X_DDR42666_6GB_qcif,qcif,28172
AdvMicDevRyzen51500X_DDR42666_7GB,3.5,X86_64,8,64,1,32,8,64,1,512,16,64,4,16,7,DDR4,2666,4,AdvMicDevRyzen51500X_DDR42666_7GB_qcif,qcif,28172
AdvMicDevRyzen51600X_DDR42666_2GB,3.6,X86_64,8,64,1,32,8,64,1,512,16,64,6,16,2,DDR4,2666,6,AdvMicDevRyzen51600X_DDR42666_2GB_qcif,qcif,27476
AdvMicDevRyzen51600X_DDR42666_3GB,3.6,X86_64,8,64,1,32,8,64,1,512,16,64,6,16,3,DDR4,2666,6,AdvMicDevRyzen51600X_DDR42666_3GB_qcif,qcif,27476
AdvMicDevRyzen51600X_DDR42666_4GB,3.6,X86_64,8,64,1,32,8,64,1,512,16,64,6,16,4,DDR4,2666,6,AdvMicDevRyzen51600X_DDR42666_4GB_qcif,qcif,27476
AdvMicDevRyzen51600X_DDR42666_6GB,3.6,X86_64,8,64,1,32,8,64,1,512,16,64,6,16,6,DDR4,2666,6,AdvMicDevRyzen51600X_DDR42666_6GB_qcif,qcif,27476
AdvMicDevRyzen51600X_DDR42666_7GB,3.6,X86_64,8,64,1,32,8,64,1,512,16,64,6,16,7,DDR4,2666,6,AdvMicDevRyzen51600X_DDR42666_7GB_qcif,qcif,27476
AdvMicDevRyzen51700X_DDR42666_2GB,3.4,X86_64,8,64,1,32,8,64,1,512,16,64,8,16,2,DDR4,2666,8,AdvMicDevRyzen51700X_DDR42666_2GB_qcif,qcif,29017
AdvMicDevRyzen51700X_DDR42666_3GB,3.4,X86_64,8,64,1,32,8,64,1,512,16,64,8,16,3,DDR4,2666,8,AdvMicDevRyzen51700X_DDR42666_3GB_qcif,qcif,29017
AdvMicDevRyzen51700X_DDR42666_4GB,3.4,X86_64,8,64,1,32,8,64,1,512,16,64,8,16,4,DDR4,2666,8,AdvMicDevRyzen51700X_DDR42666_4GB_qcif,qcif,29017
AdvMicDevRyzen51700X_DDR42666_6GB,3.4,X86_64,8,64,1,32,8,64,1,512,16,64,8,16,6,DDR4,2666,8,AdvMicDevRyzen51700X_DDR42666_6GB_qcif,qcif,29017
AdvMicDevRyzen51700X_DDR42666_7GB,3.4,X86_64,8,64,1,32,8,64,1,512,16,64,8,16,7,DDR4,2666,8,AdvMicDevRyzen51700X_DDR42666_7GB_qcif,qcif,29017
AdvMicDevRyzenT1950X_DDR42666_2GB,3.4,X86_64,8,64,1,32,8,64,1,512,16,64,16,32,2,DDR4,2666,16,AdvMicDevRyzenT1950X_DDR42666_2GB_qcif,qcif,29017
AdvMicDevRyzenT1950X_DDR42666_3GB,3.4,X86_64,8,64,1,32,8,64,1,512,16,64,16,32,3,DDR4,2666,16,AdvMicDevRyzenT1950X_DDR42666_3GB_qcif,qcif,29017
AdvMicDevRyzenT1950X_DDR42666_4GB,3.4,X86_64,8,64,1,32,8,64,1,512,16,64,16,32,4,DDR4,2666,16,AdvMicDevRyzenT1950X_DDR42666_4GB_qcif,qcif,29017
AdvMicDevRyzenT1950X_DDR42666_6GB,3.4,X86_64,8,64,1,32,8,64,1,512,16,64,16,32,6,DDR4,2666,16,AdvMicDevRyzenT1950X_DDR42666_6GB_qcif,qcif,29017
AdvMicDevRyzenT1950X_DDR42666_7GB,3.4,X86_64,8,64,1,32,8,64,1,512,16,64,16,32,7,DDR4,2666,16,AdvMicDevRyzenT1950X_DDR42666_7GB_qcif,qcif,29017
AdvMicDevRyzen32200U_DDR42400_2GB,2.5,X86_64,8,64,1,32,8,64,1,512,16,64,2,4,2,DDR4,2400,2,AdvMicDevRyzen32200U_DDR42400_2GB_qcif,qcif,40147
AdvMicDevRyzen32200U_DDR42400_3GB,2.5,X86_64,8,64,1,32,8,64,1,512,16,64,2,4,3,DDR4,2400,2,AdvMicDevRyzen32200U_DDR42400_3GB_qcif,qcif,40147
AdvMicDevRyzen32200U_DDR42400_4GB,2.5,X86_64,8,64,1,32,8,64,1,512,16,64,2,4,4,DDR4,2400,2,AdvMicDevRyzen32200U_DDR42400_4GB_qcif,qcif,40147
AdvMicDevRyzen32200U_DDR42400_6GB,2.5,X86_64,8,64,1,32,8,64,1,512,16,64,2,4,6,DDR4,2400,2,AdvMicDevRyzen32200U_DDR42400_6GB_qcif,qcif,40147
AdvMicDevRyzen32200U_DDR42400_7GB,2.5,X86_64,8,64,1,32,8,64,1,512,16,64,2,4,7,DDR4,2400,2,AdvMicDevRyzen32200U_DDR42400_7GB_qcif,qcif,40147
AdvMicDevRyzen52500U_DDR42400_2GB,2,X86_64,8,64,1,32,8,64,1,512,16,64,4,4,2,DDR4,2400,4,AdvMicDevRyzen52500U_DDR42400_2GB_qcif,qcif,48521
